Orden de gobierno,Clave Ramo,Descripción Ramo,Tipo de Institución,Clave Institución,Siglas de la Institución,Institución,Clave de la UC,Nombre de la UC,Código del expediente,Referencia del expediente,Título del expediente,Partida específica,Ley,Tipo Procedimiento,Artículo de excepción,Descripción excepción,Contrato marco,Compra consolidada,Núm. Proc. Consolidación,Nombre Proc. Consolidación,Tipo Proc. Consolidación,Art. EXC. Proc. Consolidación,Número de procedimiento,Tipo de contratación,Carácter del procedimiento,Forma de participación,La contratación es por Caso fortuito o fuerza mayor,Crédito externo,Organismo financiero,Clave del programa federal,Clave de cartera SHCP,Fecha de publicación,Fecha de apertura,Fecha de fallo,Código del contrato,Núm. del contrato,Título del contrato,Descripción del contrato,Contrato plurianual,Estatus DRC,Fecha de inicio del contrato,Fecha de fin del contrato,Fecha de firma del contrato,Importe DRC,Moneda,Convenio modificatorio,Código Ref. Contrato,Estatus Contrato,Fecha firma contrato,Tipo de contrato,Monto sin imp./mínimo,Monto mínimo con imp.,Monto sin imp./máximo,Monto máximo con imp.,Moneda.1,Convenio modificatorio.1,Código Ref. último convenio,Fecha fin último conv,Monto sin imp./mínimo último conv,Monto mínimo con imp. último conv,Monto sin imp./máximo último conv,Monto máximo con imp. último conv,Fecha firma último conv,rfc,Proveedor o contratista,Folio en el RUPC,País de la empresa,Nacionalidad proveedor o contratista,Proveedor/contratista con auto registro en CompraNet,Estratificación,origen,Dirección del anuncio,clasificacion_llm,subcategoria_tic,marca_tic
APF,47,ENTIDADES NO SECTORIZADAS,APF,047AYL,SPR,SISTEMA PUBLICO DE RADIODIFUSION DEL ESTADO MEXICANO,006AYL998,UNIDAD DE ADMINISTRACIÓN Y FINANZAS,E-2024-00001839,SPR-202-2024,SERVICIO PROFESIONAL DE APOYO EN LA CARGA DE INFORMACIÓN EN LA PLATAFORMA SIPOT,33901,LAASSP,"ADJUDICACIÓN DIRECTA POR SERVICIOS PRESTADOS POR PERSONA FÍSICA, QUE NO REQUIERA DE OTRO ESPECIALISTA O TÉCNICO",ART. 41 FR. XIV,"SERVICIOS PRESTADOS POR PERSONA FÍSICA (FRACCIÓN VII, DEL ARTÍCULO 3 DE LA LEY), Y QUE NO REQUIERER LA UTILIZACIÓN DE MÁS DE UN ESPECIALISTA O TÉCNICO.",,NO,,,,,AA-47-AYL-006AYL998-N-204-2024,SERVICIOS,NACIONAL,,NO,NO,,,,16/01/2024 02:12,,,C-2024-00005336,SPR-202-2024,SERVICIO PROFESIONAL DE APOYO EN LA CARGA DE INFORMACIÓN EN LA PLATAFORMA SIPOT,SERVICIO PROFESIONAL DE APOYO EN LA CARGA DE INFORMACIÓN EN LA PLATAFORMA SIPOT Y SISTEMAS INFORMÁTICOS DEL SHCP,NO,PUBLICADO,08/01/2024,31/12/2024,07/02/2024 10:06,387223.07,MXN,NO,2024-A-A-NAC-A-C-47-AYL-00002974,FORMALIZADO,07/02/2024 10:06,Cerrado,387223.07,,449178.76,,MXN,NO,,,387223.07,,,,,AAAJ890913DBA,JASMIN NATZIN ALDACO AVILA,,MX,MEXICANA,NO,MICRO,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/ae5d9fb921744ec7890c50c4297cceca/procedimiento,TIC,Consultoría en plataformas tecnológicas empresariales,NINGUNA
APF,48,CULTURA,APF,48000,CULTURA,SECRETARIA DE CULTURA,48410003,DEPARTAMENTO DE COMITE,E-2024-00043552,SC/DGTIC/PSP/01153/2024,PRESTACION DE SERVICIOS PROFESIONALES CONSISTENTES EN COADYUVAR AL DESARROLLO DE,33901,LAASSP,"ADJUDICACIÓN DIRECTA POR SERVICIOS PRESTADOS POR PERSONA FÍSICA, QUE NO REQUIERA DE OTRO ESPECIALISTA O TÉCNICO",ART. 41 FR. XIV,"SERVICIOS PRESTADOS POR PERSONA FÍSICA (FRACCIÓN VII, DEL ARTÍCULO 3 DE LA LEY), Y QUE NO REQUIERER LA UTILIZACIÓN DE MÁS DE UN ESPECIALISTA O TÉCNICO.",,NO,,,,,AA-48-410-048410003-N-1262-2024,SERVICIOS,NACIONAL,,NO,NO,,,,13/05/2024 16:04,,26/04/2024 00:00,C-2024-00054380,SC/DGTIC/PSP/01153/2024,PRESTACION DE SERVICIOS PROFESIONALES CONSISTENTES EN COADYUVAR AL DESARROLLO DE,"PRESTACION DE SERVICIOS PROFESIONALES CONSISTENTES EN COADYUVAR AL DESARROLLO DE SOLUCIONES Y ACCIONES DE MEJORA PARA LA ADMINISTRACION EFICIENTE Y EFICAZ DE LOS SERVIDORES DEL CENTRO DE DATOS (SITE), DONDE SE ALOJA LA INFORMACION DE LOS SISTEMAS INTERNOS DE LAS UNIDADES ADMINISTRATIVAS DE LA SECRETARIA DE CULTURA",NO,PUBLICADO,01/05/2024,31/12/2024,24/05/2024 09:04,226577.59,MXN,NO,2024-A-A-NAC-A-C-48-420-00028117,FORMALIZADO,24/05/2024 09:04,Cerrado,226577.59,,262830.0,,MXN,NO,,,226577.59,,,,,AAAR7902218RA,RODRIGO ERNESTO ALVAREZ AGUILERA,,MX,MEXICANA,NO,NO MIPYME,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/c0c8e210c17d4f7f968b5fd7d4c4f60c/procedimiento,TIC,Consultoría en plataformas tecnológicas empresariales,NINGUNA
APF,12,SALUD,APF,012NDY,INSP,INSTITUTO NACIONAL DE SALUD PUBLICA,012NDY001,DEPARTAMENTO DE SERVICIOS GENERALES Y MANTENIMIENTO,E-2024-00057854,DAF/SGYM0871/2024,"REVISAR, GENERAR Y AJUSTAR LOS DIAGRAMAS BPM PARA LA ACTUALIZACIÓN DEL MÓDULO",33104,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-12-NDY-012NDY001-N-394-2024,SERVICIOS,NACIONAL,,NO,NO,,,,23/05/2024 20:28,,17/05/2024 00:00,C-2024-00064165,DAF/SGYM0871/2024,"REVISAR, GENERAR Y AJUSTAR LOS DIAGRAMAS BPM PARA LA ACTUALIZACIÓN DEL MÓDULO","REVISAR, GENERAR Y AJUSTAR LOS DIAGRAMAS BPM PARA LA ACTUALIZACIÓN DEL MÓDULO DE INSCRIPCIONES PARA ESTUDIANTES DE LA ESPM A CURSOS PASPE EN LA PLATAFORMA DE GESTIÓN ACADÉMICA, Y ACTUALIZAR ESQUEMA PARA EL ALMACENAMIENTO DE LA INFORMACIÓN",NO,PUBLICADO,04/06/2024,31/07/2024,31/05/2024 09:58,37764,MXN,NO,2024-A-A-NAC-A-C-12-NDY-00031047,FORMALIZADO,31/05/2024 09:58,Cerrado,37764.0,,43806.24,,MXN,NO,,,37764.0,,,,,AAHJ970529KN0,JAVIER FELIZARDO ANDRADE HERRERA,,MX,MEXICANA,NO,NO MIPYME,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/3eef6247b9744d609ceebc8b8787bbe1/procedimiento,TIC,Desarrollo de software,NINGUNA
APF,11,EDUCACIÓN PÚBLICA,APF,011B00,IPN,INSTITUTO POLITECNICO NACIONAL,011B00001,DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,E-2024-00028047,DSI-PSP-033-2024,PRESTACIÓN DE SERVICIOS PROFESIONALES,33901,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-11-B00-011B00001-N-1949-2024,SERVICIOS,NACIONAL,,NO,NO,,,,25/03/2024 06:27,,,C-2024-00031505,DSI-PSP-033-2024,PRESTACIÓN DE SERVICIOS PROFESIONALES,PRESTACIÓN DE SERVICIOS PROFESIONALES EN LA DIRECCIÓN DE SISTEMAS INFORMÁTICOS,NO,PUBLICADO,16/03/2024,31/12/2024,26/03/2024 10:24,111687.07,MXN,NO,2024-A-A-NAC-A-A-11-B00-00016587,FORMALIZADO,26/03/2024 10:24,Abierto,44674.83,,111687.07,,MXN,NO,,,,,,,,AAJY881017BS2,YARELI LICET ANDRADE JIMENEZ,,MX,MEXICANA,NO,NO MIPYME,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/d3c47973304d4c4f802f09eb543537a3/procedimiento,TIC,Mantenimiento de software institucional,NINGUNA
APF,11,EDUCACIÓN PÚBLICA,APF,011B00,IPN,INSTITUTO POLITECNICO NACIONAL,011B00001,DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,E-2024-00019496,CIC-PSP-004-2024,PROVEEDOR DE SERVICIOS PROFESIONALES,33901,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-11-B00-011B00001-N-991-2024,SERVICIOS,NACIONAL,,NO,NO,,,,05/03/2024 01:11,,,C-2024-00024129,CIC-PSP-004-2024,PROVEEDOR DE SERVICIOS PROFESIONALES,"""REVISIÓN Y COORDINACIÓN CON LAS DIVERSAS ÁREAS ADMINISTRATIVAS PARA LA IMPLEMENTACIÓN DEL SISTEMA ASISTENTE VIRTUAL PARA SEGUIMIENTO DE PROCESOS ACADÉMICOS Y ADMINISTRATIVOS (AVISPAA). LEVANTAMIENTO DE NUEVOS REQUERIMIENTOS Y DE CAMBIOS DE INTERFAZ. 
REVISIÓN DE ROBUSTEZ Y TOLERANCIA A FALLOS EN LA FASE DE PRODUCCIÓN DEL SISTEMA. 
SEGUIMIENTO EN LA ELABORACIÓN DE MEMORIAS PARA SU POSTERIOR ARMADO Y TRATAMIENTO ELECTRÓNICO. """,NO,PUBLICADO,01/03/2024,31/12/2024,14/03/2024 12:17,16363.63,MXN,NO,2024-A-A-NAC-A-A-11-B00-00012310,FORMALIZADO,14/03/2024 12:17,Abierto,113890.87,,189818.11,,MXN,NO,,,,,,,,AAMT940920IL2,TANIA GISELA ALCANTARA MEDINA,,MX,MEXICANA,NO,NO MIPYME,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/1453215753f94faf9f548891eee13265/procedimiento,TIC,Consultoría en plataformas tecnológicas empresariales,NINGUNA
APF,13,MARINA,APF,013J3E,ASIPONA-VERACRUZ,"ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL VERACRUZ, S.A. DE C.V.",013J3E001,VERACRUZ-GERENCIA DE ADMINISTRACION Y FINANZAS,E-2024-00036481,SOL_COT_40_2024,SERVICIO DE MANTENIMIENTO DE SERVICIOS VIRTUALIZADOS ORACLE LINUX KVM MANAGER,32701,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-13-J3E-013J3E001-N-44-2024,SERVICIOS,NACIONAL,,NO,NO,,,,16/04/2024 00:05,,30/04/2024 00:00,C-2024-00071004,35028,SERVICIO DE MANTENIMIENTO DE SERVICIOS VIRTUALIZADOS ORACLE LINUX KVM MANAGER,"SERVICIO DE MANTENIMIENTO DE SERVICIOS VIRTUALIZADOS ORACLE LINUX KVM Y BASE DE DATOS ORACLE, POR EL PERIODO DEL 01 DE MAYO DE 2024 AL 30 DE ABRIL 2025 (EQUIVALENTE A 365 DÍAS NATURALES).",NO,PUBLICADO,01/05/2024,30/04/2025,20/06/2024 17:29," 406,800.00 ",MXN,NO,2024-A-A-NAC-A-C-13-J3E-00036328,FORMALIZADO,20/06/2024 17:29,Cerrado,406800.0,,471888.0,,MXN,NO,,,406800.0,,,,,AAPJ7608105G9,JUAN CARLOS ALVARADO PEÑALOZA,,MX,MEXICANA,NO,PEQUEÑA,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/38cb0b6958ad410bb2a8eb898e169091/procedimiento,TIC,Mantenimiento de software institucional,Oracle
APF,13,MARINA,APF,013J3E,ASIPONA-VERACRUZ,"ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL VERACRUZ, S.A. DE C.V.",013J3E001,VERACRUZ-GERENCIA DE ADMINISTRACION Y FINANZAS,E-2024-00072726,35234_2024,SERVICIO DE ANÁLISIS DE VULNERABILIDADES Y REMEDIACIÓN (PENTESTING),33303,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-13-J3E-013J3E001-N-104-2024,SERVICIOS,NACIONAL,,NO,NO,,,,18/06/2024 16:27,,31/05/2024 00:00,C-2024-00086475,35234_2024,SERVICIO DE ANÁLISIS DE VULNERABILIDADES Y REMEDIACIÓN (PENTESTING),SERVICIO DE ANÁLISIS DE VULNERABILIDADES Y REMEDIACIÓN (PENTESTING),NO,PUBLICADO,10/06/2024,21/06/2024,15/08/2024 10:37,86000,MXN,NO,2024-A-A-NAC-A-C-13-J3E-00041490,FORMALIZADO,15/08/2024 10:37,Cerrado,86000.0,,99760.0,,MXN,NO,,,86000.0,,,,,AAPJ7608105G9,JUAN CARLOS ALVARADO PEÑALOZA,,MX,MEXICANA,NO,PEQUEÑA,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/7b4a911311b741febb00da5bd2b1abba/procedimiento,TIC,Ciberseguridad,NINGUNA
APF,11,EDUCACIÓN PÚBLICA,APF,011B00,IPN,INSTITUTO POLITECNICO NACIONAL,011B00001,DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,E-2024-00014506,DVDR-PSP-008-2024,PRESTACIÓN DE SERVICIOS PROFESIONALES PARA LA DVDR,33901,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-11-B00-011B00001-N-378-2024,SERVICIOS,NACIONAL,,NO,NO,,,,16/02/2024 21:51,,,C-2024-00017836,DVDR-PSP-008-2024,PRESTACIÓN DE SERVICIOS PROFESIONALES PARA LA DVDR,"CONTRATACIÓN PARA LA PRESTACIÓN DE SERVICIOS PROFESIONALES, PARA COADYUVAR EN EL DESARROLLO PROFESIONAL DE LOS CENTROS DE VINCULACIÓN Y DESARROLLO REGIONAL (CVDRS) Y LOS CENTROS DE INNOVACIÓN E INTEGRACIÓN DE TECNOLOGÍAS AVANZADAS (CIITAS).",NO,PUBLICADO,01/02/2024,20/12/2024,16/02/2024 18:01,15000,MXN,NO,2024-A-A-NAC-A-A-11-B00-00007631,FORMALIZADO,16/02/2024 18:01,Abierto,66000.0,,165000.0,,MXN,NO,,,,,,,,AAVA970911FC8,ALEJANDRA ALBARRAN VILLEGAS,,MX,MEXICANA,NO,NO MIPYME,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/bf1182321dc440e89f8297fe73610b85/procedimiento,TIC,Consultoría en plataformas tecnológicas empresariales,NINGUNA
GEM,66,CHIAPAS,GE,66048,,SECRETARÍA DE LA MUJER E IGUALDAD DE GÉNERO,907070982,UNIDAD DE APOYO ADMINISTRATIVO,E-2024-00107529,SEIGEN_FOBAM_01_007_2024,SERVICIOS DE DESARROLLO DE APLICACIONES INFORMÁTICAS FOBAM,33301,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-66-048-907070982-N-20-2024,ADQUISICIONES,NACIONAL,,NO,NO,,"47S010-PROGRAMA PARA EL ADELANTO, BIENESTAR E IGUALDAD DE LAS MUJERES",,03/12/2024 22:27,,15/08/2024 00:00,C-2024-00144143,SEIGEN_FOBAM_01_007_2024,SERVICIOS DE DESARROLLO DE APLICACIONES INFORMÁTICAS FOBAM,"META MF2 ACTIVIDAD 2.2 SERVICIO DE DISEÑO DE UNA BASE DE DATOS O PROGRAMA INFORMÁTICO QUE TENGA COMO FINALIDAD REGISTRAR, ORGANIZAR, CONCENTRAR Y ANALIZAR LAS NAME"".  ESTA HERRAMIENTA DEBE INTEGRAR LOS ELEMENTOS DE INFORMACIÓN NECESARIOS Y SUFICIENTES PARA EL REGISTRO DE LAS NAME, ASÍ COMO, LA NOTIFICACIÓN A LAS AUTORIDADES RESPONSABLES DE LA ATENCIÓN DE LAS NIÑAS Y/O ADOLESCENTES MADRES Y EMBARAZADAS QUE SEAN IDENTIFICADAS EN LOS DIFERENTES ESPACIOS PÚBLICOS EN LOS QUE INTERACTÚAN. EN EL MUNICIPIO DE BERRIOZABAL.",NO,PUBLICADO,21/08/2024,31/12/2024,,86206.9,MXN,,,,,,,,,,,,,,,,,,,ACB1707277J9,ASESORIA Y CAPACITACION BEJUCAL SA DE CV,,MX,MEXICANA,NO,MEDIANA,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/181e3ae9377741c58b3e5aca5390ff97/procedimiento,TIC,Desarrollo de software,NINGUNA
APF,18,ENERGÍA,APF,018TOM,CENACE,CENTRO NACIONAL DE CONTROL DE ENERGIA,018TOM999,SUBDIERCCION DE ADMINISTRACION,E-2024-00051729,E-999-2024-037,"PLATAFORMA DE OBSERVABILIDAD, AUTOMATIZACIÓN E INTELIGENCIA ENTORNOS COMPLEJOS",33903,LAASSP,LICITACIÓN PÚBLICA,,,,NO,,,,,LA-18-TOM-018TOM999-N-37-2024,SERVICIOS,NACIONAL,ELECTRÓNICA,NO,NO,,,,16/05/2024 23:55,14/06/2024 16:00,28/06/2024 15:30,C-2024-00099966,2024-018TOM999-A-L-S-073,"PLATAFORMA DE OBSERVABILIDAD, AUTOMATIZACIÓN E INTELIGENCIA ENTORNOS COMPLEJOS","PLATAFORMA DE OBSERVABILIDAD, AUTOMATIZACIÓN E INTELIGENCIA PARA ENTORNOS COMPLEJOS QUE PERMITA MONITOREAR, GESTIONAR, ANALIZAR Y OPTIMIZAR LAS APLICACIONES CON BASE EN DATOS E INTELIGENCIA ARTIFICIAL",NO,PUBLICADO,06/10/2024,05/10/2025,30/07/2024 10:44,4284121,MXN,NO,2024-A-L-NAC-A-C-18-TOM-00045693,FORMALIZADO,30/07/2024 10:44,Cerrado,4284121.0,,4969580.36,,MXN,NO,,,4284121.0,,,,,ACC071211NW6,ACCSOFTWARE SA DE CV,,MX,MEXICANA,NO,MICRO,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/3cb0a5ed0a194c688d5ba83a70e30737/procedimiento,TIC,Ciberseguridad,NINGUNA
